Проект,Категории,Цена,Заявки
Верстка лендинга,HTML-верстка,None,31 заявка
Прокат и продажа экшн камер,Знаки/Логотипы,None,24 заявки
Адаптивная верстка,HTML-верстка,None,39 заявок
SMM страница в Facebook,Социальные сети (SMM/SMO),None,7 заявок
"Нейминг, логотип, лендинг",Знаки/Логотипы,None,17 заявок
SEO консультация,Поисковые системы (SEO),None,4 заявки
Разработка android-приложения для стартапа,ПО для мобильных устройств,None,2 заявки
Написать скрипт определения пола,Веб-программирование,None,1 заявка
Сделать ресайз аватарки для группы ВК,Пиксел-арт/Иконки,None,7 заявок
SalesPlatform Vtiger CRM 6,Системное администрирование,None,нет заявок
Правки сайта (верстка + немного функционала) Wordpress,HTML-верстка,None,2 заявки
Настроить обмен данных с 1с на стороне сайта для Opencart,Системы управления (CMS),None,3 заявки
Требуются уникальные тексты,Копирайтинг/Рерайтинг,$100,14 заявок
Написать PHP код для вывода блога категории K2 по алфавиту.,Веб-программирование,None,2 заявки
Миграция/перенос страниц с Drupal 6 на Opencart 2,Системы управления (CMS),None,3 заявки
Переводчит корейского языка на 1 мес. в г.Тверь с 28 августа,Переводы,None,2 заявки
Отбор шуток и афоризмов для мобильного приложения.,Наполнение сайтов,$300,13 заявок
Логотип для интернет-магазина одежды,Знаки/Логотипы,$4,9 заявок
Перенос сайта с MODx на Битрикс,Интернет-магазины,None,5 заявок
Продвижение сайта,Поисковые системы (SEO),None,13 заявок
"Работа с базой данных ""Ассоциаций Английских слов""",Базы данных,None,2 заявки
Я.Директ на 1500 ключей,Контекстная реклама,$25,17 заявок
Доперевести сайт и немного доработать страницу каталога,Веб-программирование,$10,2 заявки
Доработки темы wordpress,Веб-программирование,None,10 заявок
Специалист Laravel на проект,Веб-программирование,None,3 заявки
Провести внутреннюю seo оптимизацию сайта,Поисковые системы (SEO),None,19 заявок
Составление контент-плана для instagram-аккаунта,Наполнение сайтов,None,1 заявка
World Of Tanks лотерея,Дизайн сайтов,None,16 заявок
Много доработок кор. портала Bitrix 24 (коробка),Системы управления (CMS),None,2 заявки
Консультация по продаже сайта,Веб-программирование,None,1 заявка
Нарисовать красивый дизайн,Дизайн сайтов,None,33 заявки
[Joomla] Изменение стоимости товара в зависимости от его свойств,Веб-программирование,None,2 заявки
Парсинг товаров на друпал7 сайт,Веб-программирование,None,5 заявок
Продвижение в твитере в течение месяца,Социальные сети (SMM/SMO),$70,5 заявок
Добавить в интернет магазин 100 товарных позиций,Наполнение сайтов,None,None
Простые доделки магазина на OpenCart,Веб-программирование,$20,10 заявок
Копирайт,Копирайтинг/Рерайтинг,None,11 заявок
Подрихтовать выдачу RSS битрикс,Веб-программирование,None,2 заявки
Раскрутка видео клипа в сети,Социальные сети (SMM/SMO),None,1 заявка
Исправление ошибок сайта на WP,Веб-программирование,None,8 заявок
Seo-текст на главную,Копирайтинг/Рерайтинг,None,18 заявок
Копирайтер для стоматологического сайта (на постоянное сотрудничество),Копирайтинг/Рерайтинг,None,7 заявок
Организовать возможность платежей,Веб-программирование,None,None
Разработка мобильного приложения,ПО для мобильных устройств,None,8 заявок
Требуется редизайн сайта (landing) и доработки по нему,Дизайн сайтов,None,10 заявок
Описание работы индикатора,Новости/Статьи/Обзоры,None,1 заявка
Дизайн лендинга,Дизайн сайтов,$150,41 заявка
Нужен программист с опытом в YII2,Веб-программирование,None,2 заявки
Распознавание / Таггинг / Классификация изображений,Прикладное ПО,None,1 заявка
Продвижение в YouTube,Социальные сети (SMM/SMO),None,1 заявка
Видео/Аудио монтаж для канала Youtube,Видеомонтаж,$500,5 заявок
Настроить таргетированную рекламу,Социальные сети (SMM/SMO),None,5 заявок
Разработка анимации для Android,ПО для мобильных устройств,$200,2 заявки
Доработка прайс-листов для ИМ,Наполнение сайтов,None,10 заявок
Настройка прав в ЗУП 2.5,1С-программирование,None,5 заявок
Настроить отправку и получение уведомлений на e-mail с joomla 3.0,Веб-программирование,None,5 заявок
Оптимизировать или создать новые кампании в Директ для ИМ посуды,Контекстная реклама,None,13 заявок
Поправить шаблон в Битрикс,Системы управления (CMS),None,9 заявок
Нужен скрипт или формула для EXCEL,Веб-программирование,None,15 заявок
Доработать макет страницы,Дизайн сайтов,$45,9 заявок
Внедрить на сайт оплату биткойном,Веб-программирование,None,2 заявки
Правка ошибки при регистрации на сайте (Joomla 2.5),Веб-программирование,None,1 заявка
Написать оптимизированный текст для категорий и подкатегорий,Копирайтинг/Рерайтинг,None,13 заявок
Нужно объединить поиск по категориям и tecdoc,Интернет-магазины,None,2 заявки
Ускорить загрузку сайта joomla,Системное администрирование,None,None
Сделать логотип для сайта,Знаки/Логотипы,None,None
Подготовка текстов,None,None,нет заявок
Доработать баннер и логотип для сайта,Знаки/Логотипы,None,None
Требуется доработать своего рода метроном,ПО для мобильных устройств,$100,5 заявок
Разработка сайта,Веб-программирование,None,3 заявки
Редизайн главной,Дизайн сайтов,None,25 заявок
"Вёрстка блока ""Опрос""",HTML-верстка,None,20 заявок
Найти сайт аукционов по КАСКО/ОСАГО,Наполнение сайтов,None,нет заявок
Правка фильтра OpenCart2,Системы управления (CMS),None,4 заявки
Требуется адаптивная верстка с использованием БЭМ-нейминга,HTML-верстка,None,17 заявок
Разработка ios и android приложения,ПО для мобильных устройств,None,8 заявок
Требуется программист со знанием ModX Evo-Revo на мелкие работы,Веб-программирование,None,2 заявки
Сделать лендинг под ключ.,Сайты «под ключ»,$100,20 заявок
Сделать портотип лендинга,Дизайн сайтов,$15,8 заявок
Нужна разработка веб-портала,Сайты «под ключ»,None,14 заявок
Специалист по e-mail рассылкам,Служба поддержки,None,5 заявок
Требуются viber рассылки + собирать базы,Базы данных,None,2 заявки
Нужен программист для создания фильтра на сайте WP,Веб-программирование,$50,3 заявки
Разработчик Delphi. Доработка клиентского приложения.,Прикладное ПО,None,6 заявок
Программирование сайта по шаблону.,Веб-программирование,None,4 заявки
Настроить РК за 50 тыс руб,Контекстная реклама,None,6 заявок
Верстка страниц по PSD макету,HTML-верстка,None,None
IOS Frontend,ПО для мобильных устройств,None,3 заявки
Создание семантического ядра и рекламной компании.,Поисковые системы (SEO),$20,20 заявок
Требуется разработка магазина на базе каталожного шаблона OpenCart.,Интернет-магазины,None,1 заявка
Разработка сайта на базе каталожного шаблона OpenCart 2.0.,Интернет-магазины,$160,3 заявки
Добавить описание о сфере деятельности компаний на сайт,Наполнение сайтов,None,5 заявок
Нужен контент-менеджер,Наполнение сайтов,None,19 заявок
Необходимо написать app для стриминга с камеры Android на Flussonic,ПО для мобильных устройств,None,1 заявка
Прописать robots.txt и сделать Sitemap,Веб-программирование,None,2 заявки
"Постинг в соцсетях, форумах и т.д. просьб о благотворительной помощи.",Социальные сети (SMM/SMO),None,15 заявок
Инструмент для записи на приём к сотрудникам и занятости их кабинетов,Веб-программирование,None,7 заявок
Создать вирусный ролик,Видеомонтаж,None,7 заявок
"Копирайтер/помощник копирайтера, рерайтер описаний корейских дорам",Копирайтинг/Рерайтинг,None,4 заявки
Нужна разработка внутреннего корпоративного портала и Helpdesk,Веб-программирование,None,4 заявки
Расширение функционала сайта,Веб-программирование,None,1 заявка
Установить PHPMyAdmin на сервер и вывести иконку в Webmin,Системное администрирование,$3,4 заявки
Описания товаров для интернет-магазина детской одежды,Копирайтинг/Рерайтинг,None,46 заявок
Написать несколько текстов по 1500 знаков,Копирайтинг/Рерайтинг,None,39 заявок
Разработать HTML парсер страниц сайта,HTML-верстка,None,3 заявки
Доработать адаптивность на сайте Joomla 3,HTML-верстка,None,10 заявок
Приложение для android(видеотрансляция с моб.устройства на веб-сервер),ПО для мобильных устройств,None,4 заявки
ВордПресс Плагин: Интерактивное Видео,Веб-программирование,None,нет заявок
WEB-Форма заказа выписок со стороннего сайта,Веб-программирование,$200,5 заявок
Доработать существующее веб-приложение на Java,Веб-программирование,None,2 заявки
Преддипломная практика,Дипломы/Курсовые/Рефераты,None,нет заявок
Максимально быстрая распределенная система обработки задач,Прикладное ПО,None,нет заявок
"Создать сайт (верстка, дизайн)",Сайты «под ключ»,None,17 заявок
Спец по SEO оптимизации,Поисковые системы (SEO),None,10 заявок
"Описать кейсы компании (IT, внедрение CRM)",Копирайтинг/Рерайтинг,None,2 заявки
Оформление статей на Wordpress,Наполнение сайтов,None,12 заявок
Статья о беспружинных матрасах,Копирайтинг/Рерайтинг,$1,7 заявок
Статья про юридические услуги,Копирайтинг/Рерайтинг,None,5 заявок
Интернет магазин,Дизайн сайтов,None,None
Ищу фрилансера для перевода на хорватский,Переводы,$100,3 заявки
Разработать визитку (полиграфия),Дизайн продукции,None,25 заявок
Внести изменения в WordPress,HTML-верстка,None,15 заявок
Раскрутить группу,Социальные сети (SMM/SMO),None,10 заявок
Верстка и настройка WordPress,HTML-верстка,None,34 заявки
Миграция Joomla c  2.5.8 до последней версии 3.6,Системы управления (CMS),$20,5 заявок
Настроить адворд кмс,Контекстная реклама,$20,8 заявок
Полиграфический дизайн (Свадебная тематика),Дизайн продукции,None,18 заявок
Написание SEO-стратегии,Поисковые системы (SEO),None,16 заявок
Фоновая музыка для игры. 20-30 секунд,Звуки/Музыка,None,30 заявок
Написание мета тегов,Копирайтинг/Рерайтинг,None,2 заявки
Доработки сайта Wordpress (прорисовка форм + верстка их же),Системы управления (CMS),None,3 заявки
Подправить стиль в шаблоне плагина wp,HTML-верстка,None,None
Нужен специалист Wordpress Woocommerce,Веб-программирование,None,2 заявки
Редизайн сайта,Дизайн сайтов,None,29 заявок
Изменения на сайте (CMS WordPress),Системы управления (CMS),None,None
Требуется копирайтер,Копирайтинг/Рерайтинг,$100,13 заявок
Рерайтер для ИМ посуды,Копирайтинг/Рерайтинг,None,17 заявок
Разместить и создать информацию о услугах в актуальных местах,Социальные сети (SMM/SMO),None,2 заявки
Нужен специалист WordPress,Веб-программирование,None,15 заявок
Реклама в социальных сетях,Социальные сети (SMM/SMO),None,5 заявок
Продающие тексты,Копирайтинг/Рерайтинг,$28,10 заявок
Подключить модуль оплаты карточками к магазину на Prestashop,Интернет-магазины,$50,2 заявки
Выполнить перенос данных из одной базы в другую,Базы данных,None,12 заявок
Добавить информацию в макет,1С-программирование,None,8 заявок
Проект на Ruby on Rails,Веб-программирование,None,3 заявки
Нарисовать логотип для игры,Знаки/Логотипы,$100,27 заявок
Установить шаблон Motocms для группы facebook,Системы управления (CMS),None,нет заявок
Маленкая переделка готового iOS Приложения.,ПО для мобильных устройств,None,2 заявки
Html верстка,HTML-верстка,None,None
Локализация кампании в Яндекс Директе на казахский,Контекстная реклама,None,3 заявки
Локализация кампании в Яндекс Директе на белорусский,Контекстная реклама,None,4 заявки
Ребрендинг успешно действующей компании,Дизайн продукции,None,5 заявок
Работа с ModX,Системы управления (CMS),None,3 заявки
"""Натяжка"" HTML шаблона на Pyro CMS",Веб-программирование,None,1 заявка
Дизайн интернет магазина,Дизайн сайтов,None,46 заявок
Дизайн интернет магазина,Дизайн сайтов,None,46 заявок
Сайт с видеотрансляцией,Сайты «под ключ»,None,14 заявок
Редактирование сайта на joomla,Системы управления (CMS),None,13 заявок
Разработка лого для сети магазинов и интернет-проекта,Знаки/Логотипы,None,39 заявок
Разработка ПО   по выгрузке объявлений на сайт,Прикладное ПО,None,3 заявки
"Ищу опытного копирайтера (тематика: строительство, дома).",Копирайтинг/Рерайтинг,None,25 заявок
Opencart 2.2. Наполнить 200 товаров,Наполнение сайтов,None,32 заявки
Дизайн этикетки для меда и Логотип,Фирменный стиль,None,22 заявки
"Opencart. Скрыть элементы магазина, чтобы получился каталог",Системы управления (CMS),None,7 заявок
Библиотека для управления дисковыми томами,Системное программирование,None,1 заявка
Нужен логотип для проекта,Знаки/Логотипы,None,24 заявки
Оптимизировать торговую площадку для разработчиков.,Поисковые системы (SEO),None,8 заявок
Импорт XML выгрузки в WordPress,Системы управления (CMS),None,3 заявки
Расчет системы отопления в программе ПОТОК,Чертежи/Схемы,None,1 заявка
Наполнение сайта новостями еженедельно,Копирайтинг/Рерайтинг,$20,15 заявок
"Расчетная курсовая  ""Навигация и лоция""",Дипломы/Курсовые/Рефераты,None,1 заявка
Сделать небольшой клип для VR,Презентации,None,2 заявки
Восстановить работу слайдера Image Show GK4 на сайте под Joomla,Веб-программирование,None,9 заявок
Тексты для блога о ведении бизнеса,Копирайтинг/Рерайтинг,$100,17 заявок
Дизайн LP,Дизайн сайтов,None,40 заявок
Доработка интернет магазина на CMS JOOMLA + продвижение сайта,Веб-программирование,None,3 заявки
10 роликов произвольной тематики,Видеомонтаж,None,11 заявок
Перенести сайт на Amazon C2,Веб-программирование,None,2 заявки
Svg и js анимация,Веб-программирование,$150,None
Счетчик обратного отсчета в WP (бесконечный),Веб-программирование,None,4 заявки
Дизайн сайта,Дизайн сайтов,None,None
Ищу копирайтера для написания статей на блог о саморазвитии.,Копирайтинг/Рерайтинг,None,47 заявок
Разработка конкурса под открытие развлекательной зоны.,Копирайтинг/Рерайтинг,None,2 заявки
"Реферальная, партнерская,crm система.",Веб-программирование,None,1 заявка
"Написание новостей, статей, обзоров",Копирайтинг/Рерайтинг,None,5 заявок
Нарисовать мультик .,Видеомонтаж,None,6 заявок
Парсер 2ГИС в Вордпресс,Веб-программирование,$20,4 заявки
Сайт на Drupal 7 медленно грузится,Веб-программирование,None,1 заявка
Натянуть готовую верстку 3 страницы (адаптив) на Битрикс,Веб-программирование,None,3 заявки
CURL Proxy,Веб-программирование,$5,нет заявок
Продвижение детского канала на Youtube,Поисковые системы (SEO),None,2 заявки
Сверстать две страницы,HTML-верстка,None,14 заявок
Необходима верстка лендинга,HTML-верстка,$25,35 заявок
Сделать сайт на AngularJS,Веб-программирование,None,5 заявок
Регистрация компании в каталогах,Наполнение сайтов,None,7 заявок
Регистрация компании в каталогах,Наполнение сайтов,None,7 заявок
Хранилище файлов,Веб-программирование,None,4 заявки
Разработать дизайн квартиры,Интерьеры/Экстерьеры,None,35 заявок
Продвижение в ВК по теме IKEA (SMM),Социальные сети (SMM/SMO),None,19 заявок
Калькулятор для сайта грузоперевозок,Веб-программирование,None,12 заявок
Дизайн и верстка полиграфической продукции,Дизайн продукции,$15,5 заявок
Простой парсер на PHP,Веб-программирование,$20,13 заявок
Нужно написать расширение для google chrome,Прикладное ПО,None,5 заявок
Доработка Интернет Магазина.,Интернет-магазины,None,3 заявки
Сделать парсинг прайс листа с сайта,Веб-программирование,None,12 заявок
Доработка сайта на YII,Веб-программирование,None,6 заявок
Сделать рабочую копию форума на IPB 3.4.6 (Бэкап имеется),Веб-программирование,None,3 заявки
Дизайн Каталога новогодних подарков 2017 Петуха,Дизайн продукции,None,4 заявки
Нарисовать дизайн лендинга.,Дизайн сайтов,$25,15 заявок
Диктор для видеороликов/ Озвучка (женский голос),Озвучивание,$40,25 заявок
Тексты для сайта авто запчастей,Копирайтинг/Рерайтинг,$200,6 заявок
Верстальщик,HTML-верстка,None,53 заявки
Дизайнер,Дизайн сайтов,None,39 заявок
Создать группы в основных соц сетях,Социальные сети (SMM/SMO),None,8 заявок
Нужен директолог,Контекстная реклама,None,25 заявок
Нужен прототипировщик для проекта,Веб-программирование,None,2 заявки
Доработка кода сайта html/php,Веб-программирование,None,нет заявок
"Оценить дизайн сайта, предложить решения",Дизайн сайтов,None,11 заявок
Рерайт статьи на женскую тематику,Копирайтинг/Рерайтинг,None,5 заявок
Оперативное изготовление ТТН (ТОРГ-12),Дизайн продукции,None,2 заявки
Продвижение магазина в FaceBook,Социальные сети (SMM/SMO),None,6 заявок
Написать модуль для сбора объявлений с других досок объявлений,Веб-программирование,None,None
Сайт на фреймворке Yii,Веб-программирование,None,3 заявки
Выполнить таргетирование для интернет-магазина,Социальные сети (SMM/SMO),$50,3 заявки
Настройка фильтра для ИМ на OpenCart,Веб-программирование,None,нет заявок
Натянуть дизайн на движок,Системы управления (CMS),None,7 заявок
Создать кампанию в Яндекс-директ и Гугл-Эдвордс,Контекстная реклама,None,9 заявок
Open-Case CSGO.,Веб-программирование,None,нет заявок
Исправить баги на сайте MOdx и скорость работы,Системы управления (CMS),None,3 заявки
Написание статей по химии,Дипломы/Курсовые/Рефераты,None,7 заявок
Дизайн игрового сайта,Дизайн сайтов,None,20 заявок
Написать парсер,Веб-программирование,None,2 заявки
Внедрить ройстат на сайт,Веб-программирование,None,2 заявки
Дизайн для мобильного приложения,Дизайн мобильных приложений,None,12 заявок
Дизайн лого и сайта,Дизайн сайтов,None,15 заявок
Создать одностраничный сайт интернет магазин.,Интернет-магазины,None,22 заявки
Нужна помощь Wordpress,Системы управления (CMS),$15,7 заявок
Комплексное продвижение сайта,Поисковые системы (SEO),None,14 заявок
Отрисовка монстриков для мобильной игры,Иллюстрации/Рисунки,None,None
Wordpress\Woocommerce \Custom fields\фильтры\backend\шаблон\100$,Веб-программирование,$100,нет заявок
Отредактировать перевод текста с русского на итальянский,Переводы,None,12 заявок
Аудит сайта на уязвимости,Тестирование сайтов,$5000,5 заявок
Разработка программного обеспечения для GPU-майнинга (riecoin),Прикладное ПО,$2000,1 заявка
Адаптивный дизайн (3 страницы),Дизайн сайтов,None,9 заявок
Сделать 3 грамотные уникальные статьи разных жанров про Фейсбук,Копирайтинг/Рерайтинг,None,7 заявок
Срочная верстка,HTML-верстка,None,None
Работа по сбору базы данных в Интернете,Базы данных,None,8 заявок
Адаптация сайта,ПО для мобильных устройств,None,2 заявки
Проксирование домена - помощь сео,Поисковые системы (SEO),None,2 заявки
"Доработать дизайн макета сайта, внести правки.",Дизайн сайтов,$20,15 заявок
Создание красивого вида нейминга,Нейминг/Слоганы,None,22 заявки
Выгрузка в Яндекс.Маркет на Laravel 5,Интернет-магазины,None,3 заявки
Модуль оплаты PayPal для сайта на Joomla,Веб-программирование,None,2 заявки
Добавление кнопок выхода на китайские сайты,Системы управления (CMS),None,3 заявки
Выполнить задание в Access_deadline 21/08/16,Базы данных,None,2 заявки
Доработка сайта. Drupal. Доска обмен вещами,Системы управления (CMS),None,2 заявки
Добавить 3 доп для авто сайта,Веб-программирование,None,3 заявки
Дизайн главной страницы интернет-магазина,Дизайн сайтов,None,45 заявок
Настроить тему Wordpress,Системы управления (CMS),None,4 заявки
"Посадить верстку на движок, доработать функционал.",Системы управления (CMS),None,1 заявка
Редизайн интернет-магазина,Дизайн сайтов,None,None
Размещать рекламный текст на досках объявлений,Социальные сети (SMM/SMO),None,6 заявок
Требуются люди для продвижения проекта в социальных сетях и интернете,Социальные сети (SMM/SMO),None,10 заявок
"Доработать форму отправки, живой поиск и виджет",Веб-программирование,$50,None
Требуется нарисовать иконки для сайта,Пиксел-арт/Иконки,None,14 заявок
Шашки,Веб-программирование,$300,13 заявок
Написание текстов,Копирайтинг/Рерайтинг,None,24 заявки
Конструктор печати на чехлах,Веб-программирование,None,7 заявок
Изготовление слайдера из картинок в PSD формате,Дизайн сайтов,None,3 заявки
"Drupal 7. Внести изменения в скрипт, адатив",Веб-программирование,$60,2 заявки
Создание сайта с готового WIX,Сайты «под ключ»,None,18 заявок
SMM для магазина аксессуаров,Социальные сети (SMM/SMO),None,6 заявок
Нужно создать анимационные ролики,Анимация,None,9 заявок
400+ текстов о татуировках; рерайтинг/копирайтинг;,Копирайтинг/Рерайтинг,$2000,29 заявок
Скорость загрузки сайта,Веб-программирование,None,9 заявок
Сортировка фильтр webasyst7,Веб-программирование,None,нет заявок
Разработать кухню,Интерьеры/Экстерьеры,$35,None
"Перекинуть дизайн с сайта html5 на сайт DLE, дописать функции",Системы управления (CMS),$500,4 заявки
Небольшой скрипт ИМ на лендинге,Веб-программирование,None,4 заявки
Нарезка видеороликов,Видеомонтаж,None,37 заявок
Нужен дизайнер для создания мини-комикса,Дизайн сайтов,None,None
Сделать парсер,Веб-программирование,None,4 заявки
Создать лендинг страничку,Веб-программирование,None,None
Переделать шапку сайта,Дизайн сайтов,None,13 заявок
Написать на HTML5 панель для Photoshop,Веб-программирование,$100,1 заявка
Нарисовать шапку для канала по теме видео в ссылках,Дизайн сайтов,$15,8 заявок
"Фрменный стиль, доготип",Фирменный стиль,None,10 заявок
XML-парсер pinnaclesports.com,Веб-программирование,None,None
Доработки сайта 1С Bitrix,Веб-программирование,None,3 заявки
Написание SOAP клиента для вэб сервиса,Веб-программирование,None,2 заявки
Статья на тему клининга,Копирайтинг/Рерайтинг,None,None
Требуется консультация с содержимым web-страниц (с++/Qt),Веб-программирование,None,нет заявок
Массфоловинг (массовая подписка на аккаунты) в Инстаграм,Социальные сети (SMM/SMO),None,4 заявки
Скопировать не сложный Лендинг,Веб-программирование,None,16 заявок
Интеграция сервиса логистики BoxBerry c их API на сайт CMS Wordpress,Системы управления (CMS),None,None
Анализ фин. показателей компании,Финансовые услуги,None,15 заявок
Решить проблему с некликающимся брендированием сайта на iOS,Веб-программирование,$8,нет заявок
Доработка доски объявлений,Веб-программирование,$999,4 заявки
Написание уникальных статей 100 000 знаков,Копирайтинг/Рерайтинг,$80,9 заявок
Дизайн и вёрстка страницы в InDesign,Верстка полиграфии,None,11 заявок
Нужен дизайн для wordpress блога,Дизайн сайтов,$150,17 заявок
Добавить два блока на лендинг wp,HTML-верстка,None,10 заявок
Landing page,Дизайн сайтов,None,18 заявок
Верстка каталога,Верстка полиграфии,None,None
Нужен сайт на wordpress,Веб-программирование,None,None
Установка модулей в CMS OpenCart и настройка,Веб-программирование,$33,5 заявок
Написать Социальную Modx фотогаллерею рейтинг,Веб-программирование,None,2 заявки
Допилить функционал платного шаблона на WP,Веб-программирование,None,нет заявок
Создание сайта по ремонту,Сайты «под ключ»,None,31 заявка
Разработка сайта,Веб-программирование,None,14 заявок
Дизайн лэндинга для сервиса образовательных услуг,Дизайн сайтов,None,32 заявки
"Drupal счетчик, и доработка форм обратной связи",Веб-программирование,None,2 заявки
Сайт фотогаллерея моделей,Сайты «под ключ»,None,24 заявки
Верстка,HTML-верстка,None,21 заявка
Мобильное приложение для интернет сайта,Веб-программирование,None,2 заявки
Конструктор комнаты,Веб-программирование,None,5 заявок
Доработка ленты товаров Woocommerce,Интернет-магазины,None,3 заявки
3D-визуализация квартиры,Интерьеры/Экстерьеры,None,51 заявка
Требуется специалист CODEIGNITER,Веб-программирование,None,2 заявки
Сайт по аренды жилья для тур-фирмы,HTML-верстка,None,16 заявок
Создание сайтов продаж выделенных серверов,Веб-программирование,None,3 заявки
Переработка функций (скриптов) сайта,Веб-программирование,None,4 заявки
Создать сайт рулетку,Веб-программирование,None,4 заявки
Исправить программу учета данных,Веб-программирование,None,2 заявки
Создать сайт-каталог,Веб-программирование,None,2 заявки
Дизайн програмного кода,Дизайн сайтов,None,1 заявка
Сделать Формы заявок,Веб-программирование,None,9 заявок
"Обработка фото, портрет",Фотография (обработка),None,33 заявки
Требуется верстка несложного PSD-файла на joomla 3.6,HTML-верстка,None,9 заявок
"Контент-менеджер,  умение работать с WordPress приветствуется.",Наполнение сайтов,None,16 заявок
Проблема с индексацией мобильной версии,Поисковые системы (SEO),None,4 заявки
Добавить платежную систему,Веб-программирование,None,2 заявки
Доработка в 1с УТ и БП,1С-программирование,None,4 заявки
Svg иконки по фирменному стилю.,Пиксел-арт/Иконки,None,8 заявок
SEO оптимизация,Поисковые системы (SEO),None,16 заявок
"Дизайн макетов (бигборд, ситилайт, еврофлаер и др.)",Наружная реклама,$50,None
Нарисовать 3D карту схемы проезда в двух вариантах: пешком и на авто,3D-графика,None,12 заявок
3 статьи - свадебное агентство,Копирайтинг/Рерайтинг,None,None
Проверка выписок из ЕГРЮЛ и скриншот найденных ошибок,Бухгалтерские услуги,$30,40 заявок
Поиск музыки ВК,Веб-программирование,$15,7 заявок
Нарисовать дизайн сайта для бара,Дизайн сайтов,None,29 заявок
Программист на PrestaShop (доработки модуля мегаменю),Веб-программирование,None,1 заявка
Сделайть редизайн сайта на Вордпресе,Дизайн сайтов,None,12 заявок
Сайт из книг Литреса,Сайты «под ключ»,None,8 заявок
Спарсить базу данных 10 000 контактов,Веб-программирование,None,4 заявки
Переработать четыре экрана лендинга,Дизайн сайтов,None,17 заявок
Тексты для медицинского портала,Копирайтинг/Рерайтинг,$500,6 заявок
Сделать статистику и графики и небольшая верстка в emberJS,Прикладное ПО,None,1 заявка
Интернет-магазины,Интернет-магазины,None,7 заявок
Верстка страницы и добавление ее на сайт,HTML-верстка,None,28 заявок
Добавить кнопку поиска на сайте,HTML-верстка,None,14 заявок
SEO тексты на английском,Копирайтинг/Рерайтинг,None,4 заявки
Верстка двух страниц для сайта,HTML-верстка,None,33 заявки
"Статьи на темы ""Путешествия и туризм""",Копирайтинг/Рерайтинг,$200,62 заявки
Дизайн каталога на сайте,Дизайн сайтов,None,17 заявок
Сделать диаграмму по PSD макету с использованием библиотеки highcharts,Веб-программирование,$10,1 заявка
Требуется верстка сайта на Word Press,HTML-верстка,$90,16 заявок
Разработка сайта (игровой тематики),Веб-программирование,$20,1 заявка
"Статьи по охоте, рыбалке, туризме в интернет-магазин",Копирайтинг/Рерайтинг,None,21 заявка
Разработка прокси-сервиса,Веб-программирование,None,4 заявки
Скопировать шаблон WordPress,Системы управления (CMS),None,8 заявок
Разработка мед. сайта c интеграцией API,Веб-программирование,$150,None
Составить семантическое ядро сервиса,Поисковые системы (SEO),None,15 заявок
Отрисовать в векторе,Иллюстрации/Рисунки,None,40 заявок
Интересные доработки для Opencart,Интернет-магазины,None,1 заявка
Название ТМ подвесных потолков,Нейминг/Слоганы,$50,35 заявок
Доработка/реализация Оформления заказа (Opencart),Веб-программирование,None,1 заявка
Доработка бота,Веб-программирование,None,3 заявки
Описание лекарств для информационного медицинского сайта,Копирайтинг/Рерайтинг,None,6 заявок
Настроить парсер ИП и ООО,Веб-программирование,None,нет заявок
Размещение информации об услугах фирмы на профильных площадках,Социальные сети (SMM/SMO),None,2 заявки
Допилить yii парсер,Веб-программирование,None,None
Нужны продающие Тизеры  для   тизерной  сети,Баннеры,None,5 заявок
Продажи в инстаграмме,Социальные сети (SMM/SMO),None,2 заявки
