Проект,Категории,Цена,Заявки
Дизайн главной страницы интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,45 заявок
Настроить тему Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,4 заявки
"Посадить верстку на движок, доработать функционал.","<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
Редизайн интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,None
Размещать рекламный текст на досках объявлений,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,6 заявок
Требуются люди для продвижения проекта в социальных сетях и интернете,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,10 заявок
"Доработать форму отправки, живой поиск и виджет","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$50,None
Требуется нарисовать иконки для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,14 заявок
Шашки,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$300,13 заявок
Написание текстов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,24 заявки
Конструктор печати на чехлах,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Изготовление слайдера из картинок в PSD формате,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,3 заявки
"Drupal 7. Внести изменения в скрипт, адатив","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$60,2 заявки
Создание сайта с готового WIX,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,18 заявок
SMM для магазина аксессуаров,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,6 заявок
Нужно создать анимационные ролики,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,9 заявок
400+ текстов о татуировках; рерайтинг/копирайтинг;,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$2000,29 заявок
Скорость загрузки сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Сортировка фильтр webasyst7,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Разработать кухню,"<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",$35,None
"Перекинуть дизайн с сайта html5 на сайт DLE, дописать функции","<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$500,4 заявки
Небольшой скрипт ИМ на лендинге,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Нарезка видеороликов,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,37 заявок
Нужен дизайнер для создания мини-комикса,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,None
Сделать парсер,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Создать лендинг страничку,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Переделать шапку сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,13 заявок
Написать на HTML5 панель для Photoshop,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$100,1 заявка
Нарисовать шапку для канала по теме видео в ссылках,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$15,8 заявок
"Фрменный стиль, доготип","<a class=""text-muted"" href=""/jobs/?category_id=19"">Фирменный стиль</a>",None,10 заявок
XML-парсер pinnaclesports.com,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Доработки сайта 1С Bitrix,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Написание SOAP клиента для вэб сервиса,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Статья на тему клининга,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,None
Требуется консультация с содержимым web-страниц (с++/Qt),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Массфоловинг (массовая подписка на аккаунты) в Инстаграм,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,4 заявки
Скопировать не сложный Лендинг,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,16 заявок
Интеграция сервиса логистики BoxBerry c их API на сайт CMS Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,None
Анализ фин. показателей компании,"<a class=""text-muted"" href=""/jobs/?category_id=73"">Финансовые услуги</a>",None,15 заявок
Решить проблему с некликающимся брендированием сайта на iOS,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$8,нет заявок
Доработка доски объявлений,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$999,4 заявки
Написание уникальных статей 100 000 знаков,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$80,9 заявок
Дизайн и вёрстка страницы в InDesign,"<a class=""text-muted"" href=""/jobs/?category_id=10"">Верстка полиграфии</a>",None,11 заявок
Нужен дизайн для wordpress блога,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$150,17 заявок
Добавить два блока на лендинг wp,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,10 заявок
Landing page,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,18 заявок
Верстка каталога,"<a class=""text-muted"" href=""/jobs/?category_id=10"">Верстка полиграфии</a>",None,None
Нужен сайт на wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Установка модулей в CMS OpenCart и настройка,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$33,5 заявок
Написать Социальную Modx фотогаллерею рейтинг,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Допилить функционал платного шаблона на WP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Создание сайта по ремонту,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,31 заявка
Разработка сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,14 заявок
Дизайн лэндинга для сервиса образовательных услуг,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,32 заявки
"Drupal счетчик, и доработка форм обратной связи","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Сайт фотогаллерея моделей,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,24 заявки
Верстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,21 заявка
Мобильное приложение для интернет сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Конструктор комнаты,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Доработка ленты товаров Woocommerce,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,3 заявки
3D-визуализация квартиры,"<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",None,51 заявка
Требуется специалист CODEIGNITER,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Сайт по аренды жилья для тур-фирмы,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,16 заявок
Создание сайтов продаж выделенных серверов,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Переработка функций (скриптов) сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Создать сайт рулетку,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Исправить программу учета данных,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Создать сайт-каталог,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Дизайн програмного кода,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,1 заявка
Сделать Формы заявок,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
"Обработка фото, портрет","<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,33 заявки
Требуется верстка несложного PSD-файла на joomla 3.6,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,9 заявок
"Контент-менеджер,  умение работать с WordPress приветствуется.","<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,16 заявок
Проблема с индексацией мобильной версии,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,4 заявки
Добавить платежную систему,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Доработка в 1с УТ и БП,"<a class=""text-muted"" href=""/jobs/?category_id=83"">1С-программирование</a>",None,4 заявки
Svg иконки по фирменному стилю.,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,8 заявок
SEO оптимизация,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,16 заявок
"Дизайн макетов (бигборд, ситилайт, еврофлаер и др.)","<a class=""text-muted"" href=""/jobs/?category_id=17"">Наружная реклама</a>",$50,None
Нарисовать 3D карту схемы проезда в двух вариантах: пешком и на авто,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,12 заявок
3 статьи - свадебное агентство,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,None
Проверка выписок из ЕГРЮЛ и скриншот найденных ошибок,"<a class=""text-muted"" href=""/jobs/?category_id=72"">Бухгалтерские услуги</a>",$30,40 заявок
Поиск музыки ВК,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$15,7 заявок
Нарисовать дизайн сайта для бара,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,29 заявок
Программист на PrestaShop (доработки модуля мегаменю),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Сделайть редизайн сайта на Вордпресе,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,12 заявок
Сайт из книг Литреса,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,8 заявок
Спарсить базу данных 10 000 контактов,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Переработать четыре экрана лендинга,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,17 заявок
Тексты для медицинского портала,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$500,6 заявок
Сделать статистику и графики и небольшая верстка в emberJS,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,1 заявка
Интернет-магазины,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,7 заявок
Верстка страницы и добавление ее на сайт,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,28 заявок
Добавить кнопку поиска на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,14 заявок
SEO тексты на английском,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,4 заявки
Верстка двух страниц для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,33 заявки
"Статьи на темы ""Путешествия и туризм""","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$200,62 заявки
Дизайн каталога на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,17 заявок
Сделать диаграмму по PSD макету с использованием библиотеки highcharts,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$10,1 заявка
Требуется верстка сайта на Word Press,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$90,16 заявок
Разработка сайта (игровой тематики),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$20,1 заявка
"Статьи по охоте, рыбалке, туризме в интернет-магазин","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,21 заявка
Разработка прокси-сервиса,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Скопировать шаблон WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,8 заявок
Разработка мед. сайта c интеграцией API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$150,None
Составить семантическое ядро сервиса,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,15 заявок
Отрисовать в векторе,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,40 заявок
Интересные доработки для Opencart,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,1 заявка
Название ТМ подвесных потолков,"<a class=""text-muted"" href=""/jobs/?category_id=86"">Нейминг/Слоганы</a>",$50,34 заявки
Доработка/реализация Оформления заказа (Opencart),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Доработка бота,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Описание лекарств для информационного медицинского сайта,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Настроить парсер ИП и ООО,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Размещение информации об услугах фирмы на профильных площадках,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,2 заявки
Допилить yii парсер,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Нужны продающие Тизеры  для   тизерной  сети,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",None,5 заявок
Продажи в инстаграмме,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,2 заявки
Переписать проект на Yii2,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Оплата для BmShop,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,нет заявок
Еженедельный парсинг статистики 50 слов из Wordstat,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Собрать семантическое ядро через KeyCollector из Яндекс,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,12 заявок
Написать и произвести парсинг,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
"Программирование, доработки на сайте Битрикс","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$30,1 заявка
Запуск магазина на базе OpenCart,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,7 заявок
Постинг в группе Вкотнакте,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Программист со знанием CMS битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,7 заявок
Убрать рамки вокруг картинки,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,46 заявок
Перенос сайта .NET + MVC,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
"Продвижение платформ booking, airbnb.","<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",$5000,9 заявок
Довести сайт до требований Adsense,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,1 заявка
Имиджевый ролик,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,6 заявок
Нужен маркетолог для разработки продающего лендинга.,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,2 заявки
Нужно написать продающий текст слоган для лендинга.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
"Нужно нарисовать продающие экраны для лендинга,","<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,20 заявок
Интеграция верстки ModX,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,5 заявок
"Копировать уже существующий сервис, есть доступ к админке сайта","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$70,нет заявок
Рерайт статьи,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,18 заявок
Разработка сайта IT компании,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,12 заявок
Требуется дизайнер для разработки лэндинга wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,18 заявок
Покупаем трафик (лиды) для инфобизнеса,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,1 заявка
Подбор сотрудника,"<a class=""text-muted"" href=""/jobs/?category_id=91"">Подбор персонала (HR)</a>",None,4 заявки
Нужна интеграция амоСРМ + MailChimp,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,нет заявок
Дизайн небольших элементов для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,11 заявок
Натянуть дизайн одностраничника,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,5 заявок
Переписка в соц. сетях в фэйсбуке,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,4 заявки
"Веб-разработка (Java, Spring, JS, PostgreSQL)","<a class=""text-muted"" href=""/jobs/?category_id=25"">Базы данных</a>",None,4 заявки
Настроить Resize для плеера,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Разработка сайта (логистический сервис),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$500,5 заявок
Якоря на вкладки Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Озвучка и аудиомонтаж мультика,"<a class=""text-muted"" href=""/jobs/?category_id=85"">Аудиомонтаж</a>",None,25 заявок
Анимация текста,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,6 заявок
Требуется доработка сайта на Drupal,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$300,10 заявок
Поддержка работы онлайн ТВ,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
"Настроить Asterisk на Elastix: пользователи, прием, звонки через шлюзы","<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,6 заявок
Исправить глюк админки сайта на Джумле.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Копирайтер + семантическое ядро,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,10 заявок
IOS приложение для управления внешним контроллером (5-7 страниц),"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",$100,5 заявок
Нарисовать на фотошопе шарж (Мультяшная обработка),"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",$15,нет заявок
Дизайн презентации(маркетинг-кит),"<a class=""text-muted"" href=""/jobs/?category_id=60"">Презентации</a>",None,5 заявок
"Необходимо создать SEO-ядро, консультация","<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,12 заявок
Настроить плагин перелинковки на сайте Word Press,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Ищу специалиста по SEO-продвижению уже рабочего интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,25 заявок
Доработка функционала для интернет портала на Laravel,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$120,1 заявка
Отсчёт с Carfax / Autocheck,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Доработать поисковый модуль в WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Наполнить инстаграм,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,11 заявок
Описания товаров для интернет-магазинов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,27 заявок
Нарисовать картинки в стиле - system-admins.ru,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,7 заявок
Описания товаров для интернет-магазинов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,27 заявок
Нарисовать картинки в стиле - system-admins.ru,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,7 заявок
Перехват функции из user32.dll,"<a class=""text-muted"" href=""/jobs/?category_id=24"">Системное программирование</a>",None,4 заявки
Доработки на Вордпрессе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Мобильная версия сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Программирование формы,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,8 заявок
Выпадающее меню на jQuery/JavaScript,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$100,None
Создание рекламного ролика для веб студии,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,6 заявок
Перерисовать фотографии,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,9 заявок
Прототип и проработка контент-маркетинга для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,1 заявка
Нужно обновления товарных остатков,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
SEO специалист на проект,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,13 заявок
Сайт визитка,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$300,5 заявок
Написать текст на сайт severtek.ru,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Разработка интернет-магазина зоотоваров,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,27 заявок
Создание темы для Drupal 7 на основе готовой верстки,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,3 заявки
Парсер WS,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Тестирование мобильных сервисов в Саудовской Аравии,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,1 заявка
Тестирование мобильных сервисов в Индии,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,1 заявка
Разработка логотипа для интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,31 заявка
Нужно создать плеер для проигрывания КАРАОКЕ,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",$1000,1 заявка
Тестирование мобильных сервисов в ЮАР,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,нет заявок
Тестирование мобильных сервисов в Нигерии,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,нет заявок
Тестирование мобильных сервисов в ОАЭ,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,1 заявка
Тестирование мобильных сервисов в Мексике,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,нет заявок
Продажа билетов на Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,4 заявки
Тестирование мобильных сервисов в Иордании,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,нет заявок
Модуль для Prestashop,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,1 заявка
Тестирование мобильных сервисов в Португалии,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,1 заявка
Написать качественные и читабельные описания (недвижимость),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,4 заявки
Нужен оформитель статей,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,31 заявка
Скрипт для сайта для обработки данных,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
"Написать несколько статей на тему Хостинги (Виртуальные, VDS и др.)","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,3 заявки
Составить контентный план для ИТ-блога,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,2 заявки
Добавить 20 уникальных новостей,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$30,6 заявок
Слинковать шаблон html с шаблоном eCommerce,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
Seo-копирайт для интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,15 заявок
Дизайн сайта квестов,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,25 заявок
Консультация по React Native,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Перевод проекта с с++ на delphi,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,1 заявка
Ищу художника для совместного создания индивидуальной колоды,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,9 заявок
Адаптивная верстка на bootstrap,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,45 заявок
Раскрутка и таргетинг в Fb и Instagram.Поиск юридической помощ в рунет,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,6 заявок
